Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Tb, -728.44184619, Tb.paw.z_19.atompaw.wentzcovitch.v1.2.upf, 40, 320, 19.00, Wentzcovitch, 0.01, 0.82
Tc, -160.65741019, Tc_ONCV_PBE-1.0.oncvpsp.upf, 30, 120, 15.00, SG15, -1.00, 2.79
Te, -26.26923422, Te_pbe_v1.uspp.F.UPF, 30, 240, 6.00, GBRV-1.2, 0.00, 0.00
Th, -965.83507274, Th.paw.z_12.ld1.uni-marburg.v0.upf, 60, 480, 12.00, MalteSachs, 2.00, 2.02
Ti, -118.87233644, ti_pbe_v1.4.uspp.F.UPF, 35, 280, 12.00, GBRV-1.4, -0.01, 1.85
Tl, -144.79584968, Tl_pbe_v1.2.uspp.F.UPF, 50, 400, 13.00, GBRV-1.2, 0.00, 0.00
Tm, -946.26766752, Tm.paw.z_23.atompaw.wentzcovitch.v1.2.upf, 40, 320, 23.00, Wentzcovitch, 0.01, 0.09
U, -1028.10868840, U.paw.z_14.ld1.uni-marburg.v0.upf, 60, 480, 14.00, MalteSachs, -0.52, 2.68
V, -144.60330050, v_pbe_v1.4.uspp.F.UPF, 35, 280, 13.00, GBRV-1.4, 0.08, 2.11
W, -158.34888993, W_pbe_v1.2.uspp.F.UPF, 30, 240, 14.00, GBRV-1.2, -0.00, 0.01
Xe, -231.78648038, Xe_ONCV_PBE-1.1.oncvpsp.upf, 60, 240, 18.00, SG15-1.1, -0.00, 0.00
Yb, -1011.04673478, Yb.paw.z_24.atompaw.wentzcovitch.v1.2.upf, 40, 320, 24.00, Wentzcovitch, -0.00, 0.00
Y, -87.26845140, Y_pbe_v1.uspp.F.UPF, 35, 280, 11.00, GBRV-1.2, 0.00, 0.02
Zn, -461.48592120, Zn_pbe_v1.uspp.F.UPF, 40, 320, 20.00, GBRV-1.2, -0.00, 0.00
Zr, -98.71212531, Zr_pbe_v1.uspp.F.UPF, 30, 240, 12.00, GBRV-1.2, -0.00, 0.01
